Region,Peak Demand (in %),% of time of year
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,74.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,74.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,74.0,84.0
Eastern Region,60.0,84.0
North-Eastern Region,47.0,84.0
Northen Region,51.0,84.0
Southern Region,64.0,84.0
Western Region,71.0,84.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,64.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,47.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,51.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,85.0
Eastern Region,60.0,85.0
North-Eastern Region,46.0,85.0
Northen Region,50.0,85.0
Southern Region,63.0,85.0
Western Region,71.0,85.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,71.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,74.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,60.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,86.0
Eastern Region,59.0,86.0
North-Eastern Region,46.0,86.0
Northen Region,50.0,86.0
Southern Region,63.0,86.0
Western Region,70.0,86.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,63.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,46.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,50.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
Northen Region,49.0,87.0
Southern Region,62.0,87.0
Western Region,70.0,87.0
National,73.0,87.0
Eastern Region,59.0,87.0
North-Eastern Region,45.0,87.0
